ID,box,test_date,time,set_number,chamber#,sex,population,flew,died,flight_type,NOTES,filename
240,Petri2,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
398,D,NA,NA,NA,NA,F,Gainesville,NA,Y,,,NA
401,Petri2,NA,NA,NA,NA,M,Gainesville,NA,Y,,,NA
94,A,NA,NA,NA,NA,F,Homestead,NA,Y,,,NA
419,D,NA,NA,NA,NA,M,Gainesville,NA,Y,,,NA
219,E,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
307,C,NA,NA,NA,NA,M,Lake Placid,NA,Y,,,NA
23,A,NA,NA,NA,NA,F,Plantation Key,NA,Y,,,NA
182,Petri1,NA,NA,NA,NA,M,North Key Largo,NA,Y,,,NA
274,C,NA,NA,NA,NA,F,North Key Largo,NA,Y,,,NA
422,D,NA,NA,NA,NA,M,Gainesville,NA,Y,,,NA
117,A,NA,NA,NA,NA,F,Homestead,NA,Y,,,NA
43,Petri1,NA,NA,NA,NA,M,Key Largo,NA,Y,,,NA
414,D,NA,NA,NA,NA,F,Gainesville,NA,Y,,,NA
115,A,NA,NA,NA,NA,F,Homestead,NA,Y,,,NA
160,D,NA,NA,NA,NA,F,Lake Wales,NA,Y,,,NA
